Year,RabiT,RabiR,KharifT,KharifR,,Yield_Sugarcane,Yield_Mustard,Yield_Paddy,Yield_Maize,Yield_Tur,Yield_Barley,Yield_Wheat,Yield_Gram
2010,19.2,19.8,30.2,112.36,,1,1,1,1,0,1,1,1
2011,19,9.25,29.4,143.25,,1,1,1,0,1,1,1,0
2012,19,25.475,31.2,169.36,,1,1,1,0,1,1,1,1
2013,19.4,24.25,31,102.64,,1,1,0,1,0,1,1,1
2014,19.8,11.3,32,104.33,,1,1,0,1,0,0,0,0
2015,22,3.2,32.2,62.85,,0,0,0,1,0,0,0,0
2016,20.4,4.07,30.6,154.01,,0,0,1,0,1,0,1,1
2017,21.2,3.94,31.4,148.12,,0,0,1,0,1,0,1,0
2018,23.6,42.55,31.8,114.44,,0,1,1,1,0,1,1,1
2019,22.8,28.2,33,508.3,,1,1,1,0,1,1,1,1
