,Crops,Season,States,MSP,Yield
0,7,0,2,3,1
1,7,0,1,3,0
2,7,0,0,3,1
3,5,0,2,2,0
4,5,0,1,2,0
5,5,0,0,2,1
6,4,0,2,6,0
7,4,0,1,6,1
8,4,0,0,6,1
9,11,0,2,12,1
10,11,0,1,12,0
11,11,0,0,12,0
12,1,0,2,11,0
13,1,0,1,11,1
14,1,0,0,11,1
15,3,0,2,10,0
16,3,0,1,10,1
17,3,0,0,10,1
18,9,0,2,4,0
19,9,2,1,4,0
20,9,2,0,4,1
21,12,1,2,1,0
22,12,1,1,1,1
23,12,1,0,1,0
24,0,1,2,8,0
25,0,1,1,8,1
26,0,1,0,8,0
27,2,1,2,7,0
28,2,1,1,7,1
29,2,1,0,7,0
30,6,1,2,0,1
31,6,1,1,0,0
32,6,1,0,0,0
33,10,1,2,9,0
34,10,1,1,9,1
35,10,1,0,9,1
36,8,1,2,5,0
37,8,1,1,5,0
38,8,1,0,5,1
